결제금액,결제날짜
27000,2024-06-06
61000,2024-06-13
10000,2024-06-14
6100,2024-06-18
7900,2024-06-25
11000,2024-07-01
23800,2024-07-02
5000,2024-07-03
7000,2024-07-04
6000,2024-07-08
8000,2024-07-09
10900,2024-07-10
5000,2024-07-11
6000,2024-07-12
5500,2024-07-15
22800,2024-07-15
6900,2024-07-16
100000,2024-07-18
30800,2024-07-20
3800,2024-07-23
25000,2024-07-29
19000,2024-07-30
8500,2024-08-11
42700,2024-08-12
3800,2024-08-13
39000,2024-08-15
26800,2024-08-16
6200,2024-08-22
3800,2024-08-27
15000,2024-08-28
5500,2024-08-29
24400,2024-08-29
22000,2024-08-30
34000,2024-08-30
11500,2024-09-01
9000,2024-09-01
1000,2024-09-02
6000,2024-09-02
9400,2024-09-02
8500,2024-09-03
1000,2024-09-04
7000,2024-09-04
5000,2024-09-04
1000,2024-09-09
6000,2024-09-09
10500,2024-09-09
6000,2024-09-11
28900,2024-09-11
22000,2024-09-13
10000,2024-09-15
31700,2024-09-18
5500,2024-09-19
4000,2024-09-21
7200,2024-09-23
8000,2024-09-23
4400,2024-09-24
1000,2024-09-25
6000,2024-09-25
1000,2024-09-26
10400,2024-09-26
25000,2024-09-28
1000,2024-09-30
24000,2024-10-01
4000,2024-10-01
1000,2024-10-02
7000,2024-10-07
5800,2024-10-07
6000,2024-10-07
9000,2024-10-09
6000,2024-10-10
6700,2024-10-14
1000,2024-10-15
11000,2024-10-15
5500,2024-10-15
1000,2024-10-16
12800,2024-10-16
1000,2024-10-17
5300,2024-10-17
6000,2024-10-17
6700,2024-10-18
31000,2024-10-18
8100,2024-10-19
22300,2024-10-20
1000,2024-10-21
6000,2024-10-21
3800,2024-10-22
32000,2024-10-23
20000,2024-10-23
7000,2024-10-24
10000,2024-10-25
6000,2024-10-25
10500,2024-10-26
1000,2024-10-28
5900,2024-10-28
24000,2024-10-28
24000,2024-10-30
51300,2024-11-01
1000,2024-11-04
6700,2024-11-04
4000,2024-11-05
5500,2024-11-06
6000,2024-11-07
54000,2024-11-07
1000,2024-11-11
5000,2024-11-11
32000,2024-11-11
6000,2024-11-12
7500,2024-11-13
76000,2024-11-13
7700,2024-11-14
37000,2024-11-16
100,2024-11-18
8000,2024-11-18
8400,2024-11-19
33000,2024-11-19
7100,2024-11-19
100,2024-11-20
7700,2024-11-20
7100,2024-11-22
7800,2024-11-22
8500,2024-11-22
100,2024-11-25
8600,2024-11-25
6000,2024-11-26
7000,2024-11-27
100,2024-11-28
8300,2024-11-29
